"Notes"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Age Adjusted Rate	Age Adjusted Rate Lower 95% Confidence Interval	Age Adjusted Rate Upper 95% Confidence Interval
	"Independence County, AR"	"05063"	"2009"	"2009"	72	36259	198.6	155.4	250.1	190.1	148.2	240.2
	"Independence County, AR"	"05063"	"2010"	"2010"	61	36647	166.5	127.3	213.8	147.1	112.0	189.7
	"Independence County, AR"	"05063"	"2011"	"2011"	53	36861	143.8	107.7	188.1	128.6	95.8	169.1
	"Independence County, AR"	"05063"	"2012"	"2012"	51	37025	137.7	102.6	181.1	117.7	87.1	155.6
	"Independence County, AR"	"05063"	"2013"	"2013"	45	36997	121.6	88.7	162.8	113.3	82.0	152.7
	"Izard County, AR"	"05065"	"2009"	"2009"	16	13679	Unreliable	66.9	189.9	Unreliable	61.0	187.3
	"Izard County, AR"	"05065"	"2010"	"2010"	18	13696	Unreliable	77.9	207.7	Unreliable	60.6	178.5
	"Izard County, AR"	"05065"	"2011"	"2011"	20	13419	149.0	91.0	230.2	125.7	73.2	201.2
	"Izard County, AR"	"05065"	"2012"	"2012"	26	13474	193.0	126.1	282.7	177.8	111.4	269.2
	"Izard County, AR"	"05065"	"2013"	"2013"	29	13368	216.9	145.3	311.6	151.1	97.8	223.1
	"Jackson County, AR"	"05067"	"2009"	"2009"	14	17945	Unreliable	42.7	130.9	Unreliable	38.8	119.1
	"Jackson County, AR"	"05067"	"2010"	"2010"	24	17997	133.4	85.4	198.4	116.8	74.0	175.2
	"Jackson County, AR"	"05067"	"2011"	"2011"	30	17866	167.9	113.3	239.7	147.2	98.6	211.4
	"Jackson County, AR"	"05067"	"2012"	"2012"	32	17600	181.8	124.4	256.7	157.3	106.9	223.3
	"Jackson County, AR"	"05067"	"2013"	"2013"	34	17615	193.0	133.7	269.7	177.6	121.5	250.8
	"Jefferson County, AR"	"05069"	"2009"	"2009"	94	77759	120.9	97.7	147.9	118.2	95.2	145.1
	"Jefferson County, AR"	"05069"	"2010"	"2010"	79	77435	102.0	80.8	127.1	98.6	77.7	123.4
	"Jefferson County, AR"	"05069"	"2011"	"2011"	87	76246	114.1	91.4	140.7	107.3	85.6	132.9
	"Jefferson County, AR"	"05069"	"2012"	"2012"	124	74723	165.9	136.7	195.2	158.2	129.9	186.5
	"Jefferson County, AR"	"05069"	"2013"	"2013"	105	73191	143.5	116.0	170.9	134.7	108.5	160.9
	"Johnson County, AR"	"05071"	"2009"	"2009"	25	25374	98.5	63.8	145.4	98.8	63.3	147.0
	"Johnson County, AR"	"05071"	"2010"	"2010"	28	25540	109.6	72.8	158.4	110.7	73.0	161.1
	"Johnson County, AR"	"05071"	"2011"	"2011"	41	25742	159.3	114.3	216.1	146.5	104.6	199.4
	"Johnson County, AR"	"05071"	"2012"	"2012"	38	25901	146.7	103.8	201.4	145.7	102.6	200.8
	"Johnson County, AR"	"05071"	"2013"	"2013"	33	25846	127.7	87.9	179.3	119.5	81.8	168.8
	"Lafayette County, AR"	"05073"	"2009"	"2009"	12	7654	Unreliable	81.0	273.9	Unreliable	74.4	266.7
	"Lafayette County, AR"	"05073"	"2010"	"2010"	12	7645	Unreliable	81.1	274.2	Unreliable	86.5	310.1
	"Lafayette County, AR"	"05073"	"2011"	"2011"	13	7516	Unreliable	92.1	295.8	Unreliable	70.2	237.4
	"Lafayette County, AR"	"05073"	"2012"	"2012"	16	7447	Unreliable	122.8	348.9	Unreliable	127.1	374.7
	"Lawrence County, AR"	"05075"	"2009"	"2009"	25	17336	144.2	93.3	212.9	127.8	81.9	190.1
	"Lawrence County, AR"	"05075"	"2010"	"2010"	20	17415	114.8	70.1	177.4	103.9	61.6	164.2
	"Lawrence County, AR"	"05075"	"2011"	"2011"	18	17178	Unreliable	62.1	165.6	Unreliable	55.5	152.6
	"Lawrence County, AR"	"05075"	"2012"	"2012"	41	17012	241.0	173.0	327.0	188.9	133.7	259.2
	"Lawrence County, AR"	"05075"	"2013"	"2013"	31	17011	182.2	123.8	258.7	143.0	95.0	206.7
	"Lee County, AR"	"05077"	"2009"	"2009"	15	10458	Unreliable	80.3	236.6	Unreliable	76.8	226.2
	"Lee County, AR"	"05077"	"2011"	"2011"	15	10326	Unreliable	81.3	239.6	Unreliable	71.9	220.6
	"Lee County, AR"	"05077"	"2012"	"2012"	15	10216	Unreliable	82.2	242.2	Unreliable	69.2	212.4
	"Lee County, AR"	"05077"	"2013"	"2013"	15	10015	Unreliable	83.8	247.0	Unreliable	70.3	215.8
	"Lincoln County, AR"	"05079"	"2009"	"2009"	12	14185	Unreliable	43.7	147.8	Unreliable	41.0	138.6
	"Lincoln County, AR"	"05079"	"2010"	"2010"	12	14134	Unreliable	43.9	148.3	Unreliable	43.8	148.0
	"Lincoln County, AR"	"05079"	"2012"	"2012"	15	14101	Unreliable	59.5	175.5	Unreliable	57.0	174.8
	"Lincoln County, AR"	"05079"	"2013"	"2013"	17	14031	Unreliable	70.6	194.0	Unreliable	70.6	200.5
	"Little River County, AR"	"05081"	"2009"	"2009"	20	13228	151.2	92.4	233.5	144.9	87.2	226.3
	"Little River County, AR"	"05081"	"2010"	"2010"	18	13171	Unreliable	81.0	216.0	Unreliable	67.7	186.2
	"Little River County, AR"	"05081"	"2011"	"2011"	16	12996	Unreliable	70.4	199.9	Unreliable	63.7	187.6
	"Little River County, AR"	"05081"	"2012"	"2012"	12	12919	Unreliable	48.0	162.3	Unreliable	44.7	151.0
	"Little River County, AR"	"05081"	"2013"	"2013"	19	12730	Unreliable	89.9	233.1	Unreliable	76.1	202.9
	"Logan County, AR"	"05083"	"2009"	"2009"	39	22429	173.9	123.6	237.7	157.0	110.5	216.4
	"Logan County, AR"	"05083"	"2010"	"2010"	36	22353	161.1	112.8	223.0	142.8	98.9	199.6
	"Logan County, AR"	"05083"	"2011"	"2011"	34	22290	152.5	105.6	213.2	141.4	96.7	199.6
	"Logan County, AR"	"05083"	"2012"	"2012"	36	21983	163.8	114.7	226.7	146.6	100.9	205.9
	"Logan County, AR"	"05083"	"2013"	"2013"	32	22082	144.9	99.1	204.6	138.3	93.3	197.5
	"Lonoke County, AR"	"05085"	"2009"	"2009"	62	67481	91.9	70.4	117.8	103.9	79.3	133.7
	"Lonoke County, AR"	"05085"	"2010"	"2010"	84	68356	122.9	98.0	152.1	136.6	108.7	169.6
	"Lonoke County, AR"	"05085"	"2011"	"2011"	97	69341	139.9	113.4	170.7	156.7	126.6	191.8
	"Lonoke County, AR"	"05085"	"2012"	"2012"	92	69839	131.7	106.2	161.6	152.3	122.3	187.4
	"Lonoke County, AR"	"05085"	"2013"	"2013"	97	70753	137.1	111.2	167.2	153.1	123.7	187.3
	"Madison County, AR"	"05087"	"2009"	"2009"	21	15673	134.0	82.9	204.8	128.0	78.2	197.7
	"Madison County, AR"	"05087"	"2010"	"2010"	20	15717	127.3	77.7	196.5	126.8	77.5	195.9
	"Madison County, AR"	"05087"	"2011"	"2011"	26	15776	164.8	107.7	241.5	148.8	96.3	219.6
	"Madison County, AR"	"05087"	"2012"	"2012"	24	15645	153.4	98.3	228.3	138.6	87.9	208.0
	"Madison County, AR"	"05087"	"2013"	"2013"	23	15701	146.5	92.9	219.8	128.0	80.2	193.8
	"Marion County, AR"	"05089"	"2009"	"2009"	19	16721	Unreliable	68.4	177.4	Unreliable	67.0	190.5
	"Marion County, AR"	"05089"	"2010"	"2010"	20	16653	120.1	73.4	185.5	93.8	53.6	152.4
	"Marion County, AR"	"05089"	"2011"	"2011"	24	16573	144.8	92.8	215.5	123.7	74.5	193.2
	"Marion County, AR"	"05089"	"2012"	"2012"	22	16568	132.8	83.2	201.0	103.0	61.1	162.8
	"Marion County, AR"	"05089"	"2013"	"2013"	37	16430	225.2	158.6	310.4	197.6	132.3	283.8
	"Miller County, AR"	"05091"	"2009"	"2009"	39	43284	90.1	64.1	123.2	88.0	62.6	120.3
	"Miller County, AR"	"05091"	"2010"	"2010"	38	43462	87.4	61.9	120.0	88.8	62.5	122.4
	"Miller County, AR"	"05091"	"2011"	"2011"	52	43759	118.8	88.8	155.8	119.7	89.1	157.4
	"Miller County, AR"	"05091"	"2012"	"2012"	46	43634	105.4	77.2	140.6	101.8	74.2	136.2
	"Miller County, AR"	"05091"	"2013"	"2013"	44	43402	101.4	73.7	136.1	94.5	68.4	127.2
	"Mississippi County, AR"	"05093"	"2009"	"2009"	60	46857	128.0	97.7	164.8	128.9	98.1	166.3
	"Mississippi County, AR"	"05093"	"2010"	"2010"	63	46480	135.5	104.2	173.4	140.3	107.6	179.9
	"Mississippi County, AR"	"05093"	"2011"	"2011"	51	45966	111.0	82.6	145.9	114.1	84.7	150.4
	"Mississippi County, AR"	"05093"	"2012"	"2012"	49	45562	107.5	79.6	142.2	109.9	81.0	145.7
	"Mississippi County, AR"	"05093"	"2013"	"2013"	55	44765	122.9	92.6	159.9	125.5	94.3	163.7
	"Monroe County, AR"	"05095"	"2009"	"2009"	14	8286	Unreliable	92.4	283.5	Unreliable	74.9	240.7
	"Monroe County, AR"	"05095"	"2010"	"2010"	10	8149	Unreliable	58.8	225.7	Unreliable	60.9	253.0
	"Monroe County, AR"	"05095"	"2011"	"2011"	12	8075	Unreliable	76.8	259.6	Unreliable	64.0	229.5
	"Monroe County, AR"	"05095"	"2012"	"2012"	16	7828	Unreliable	116.8	331.9	Unreliable	86.4	265.2
	"Montgomery County, AR"	"05097"	"2009"	"2009"	12	9490	Unreliable	65.3	220.9	Unreliable	53.2	204.0
	"Montgomery County, AR"	"05097"	"2010"	"2010"	11	9487	Unreliable	57.9	207.5	Unreliable	45.9	176.2
	"Montgomery County, AR"	"05097"	"2011"	"2011"	10	9433	Unreliable	50.8	195.0	Unreliable	36.2	165.4
	"Montgomery County, AR"	"05097"	"2012"	"2012"	18	9340	Unreliable	114.2	304.6	Unreliable	94.1	277.2
	"Montgomery County, AR"	"05097"	"2013"	"2013"	11	9226	Unreliable	59.5	213.3	Unreliable	47.8	218.1
	"Nevada County, AR"	"05099"	"2011"	"2011"	10	9017	Unreliable	53.2	204.0	Unreliable	46.6	193.4
	"Nevada County, AR"	"05099"	"2012"	"2012"	18	8925	Unreliable	119.5	318.7	Unreliable	108.7	308.7
	"Nevada County, AR"	"05099"	"2013"	"2013"	22	8799	250.0	156.7	378.5	233.5	142.7	360.7
	"Newton County, AR"	"05101"	"2010"	"2010"	13	8330	Unreliable	83.1	266.9	Unreliable	72.1	243.8
	"Newton County, AR"	"05101"	"2011"	"2011"	10	8264	Unreliable	58.0	222.5	Unreliable	57.3	237.7
	"Newton County, AR"	"05101"	"2012"	"2012"	14	8086	Unreliable	94.7	290.5	Unreliable	73.2	262.5
	"Newton County, AR"	"05101"	"2013"	"2013"	10	8064	Unreliable	59.5	228.1	Unreliable	56.5	234.5
	"Ouachita County, AR"	"05103"	"2009"	"2009"	36	26024	138.3	96.9	191.5	138.6	96.0	193.7
	"Ouachita County, AR"	"05103"	"2010"	"2010"	31	26120	118.7	80.6	168.5	111.4	74.0	160.9
	"Ouachita County, AR"	"05103"	"2011"	"2011"	23	25880	88.9	56.3	133.4	84.3	52.9	127.7
	"Ouachita County, AR"	"05103"	"2012"	"2012"	24	25396	94.5	60.6	140.6	87.0	54.5	131.7
	"Ouachita County, AR"	"05103"	"2013"	"2013"	29	25002	116.0	77.7	166.6	99.7	65.7	145.1
	"Perry County, AR"	"05105"	"2009"	"2009"	13	10443	Unreliable	66.3	212.9	Unreliable	61.5	197.4
	"Perry County, AR"	"05105"	"2010"	"2010"	10	10445	Unreliable	45.9	176.1	Unreliable	41.2	158.0
	"Perry County, AR"	"05105"	"2012"	"2012"	16	10339	Unreliable	88.5	251.3	Unreliable	86.1	253.8
	"Perry County, AR"	"05105"	"2013"	"2013"	23	10345	222.3	140.9	333.6	187.6	116.2	286.8
	"Phillips County, AR"	"05107"	"2009"	"2009"	27	21976	122.9	81.0	178.8	139.3	90.1	205.6
	"Phillips County, AR"	"05107"	"2010"	"2010"	28	21757	128.7	85.5	186.0	119.9	79.0	174.4
	"Phillips County, AR"	"05107"	"2011"	"2011"	38	21442	177.2	125.4	243.3	181.4	127.1	251.2
	"Phillips County, AR"	"05107"	"2012"	"2012"	13	20784	Unreliable	33.3	107.0	Unreliable	30.2	102.0
	"Phillips County, AR"	"05107"	"2013"	"2013"	26	20399	127.5	83.3	186.8	124.8	80.7	184.2
	"Pike County, AR"	"05109"	"2009"	"2009"	15	11260	Unreliable	74.6	219.7	Unreliable	71.0	217.9
	"Pike County, AR"	"05109"	"2011"	"2011"	18	11259	Unreliable	94.7	252.7	Unreliable	77.7	213.5
	"Pike County, AR"	"05109"	"2012"	"2012"	12	11247	Unreliable	55.1	186.4	Unreliable	43.7	147.6
	"Pike County, AR"	"05109"	"2013"	"2013"	24	11177	214.7	137.6	319.5	203.5	129.0	305.4
	"Poinsett County, AR"	"05111"	"2009"	"2009"	37	24632	150.2	105.8	207.0	153.7	107.6	212.8
	"Poinsett County, AR"	"05111"	"2010"	"2010"	38	24583	154.6	109.4	212.2	154.6	108.9	213.1
	"Poinsett County, AR"	"05111"	"2011"	"2011"	35	24514	142.8	99.4	198.6	139.5	96.6	194.9
	"Poinsett County, AR"	"05111"	"2012"	"2012"	34	24307	139.9	96.9	195.5	129.0	88.8	181.2
	"Poinsett County, AR"	"05111"	"2013"	"2013"	35	24145	145.0	101.0	201.6	127.1	88.0	177.6
	"Polk County, AR"	"05113"	"2009"	"2009"	26	20583	126.3	82.5	185.1	126.5	81.0	188.2
	"Polk County, AR"	"05113"	"2010"	"2010"	22	20662	106.5	66.7	161.2	95.3	58.2	147.2
	"Polk County, AR"	"05113"	"2011"	"2011"	21	20610	101.9	63.1	155.8	95.1	57.3	148.5
	"Polk County, AR"	"05113"	"2012"	"2012"	29	20471	141.7	94.9	203.5	139.2	91.0	204.0
	"Polk County, AR"	"05113"	"2013"	"2013"	18	20406	Unreliable	52.3	139.4	Unreliable	51.3	141.0
	"Pope County, AR"	"05115"	"2009"	"2009"	64	61302	104.4	80.4	133.3	105.1	80.7	134.4
	"Pope County, AR"	"05115"	"2010"	"2010"	82	61754	132.8	105.6	164.8	135.6	107.5	168.8
	"Pope County, AR"	"05115"	"2011"	"2011"	92	62331	147.6	119.0	181.0	149.3	120.1	183.5
	"Pope County, AR"	"05115"	"2012"	"2012"	76	62765	121.1	95.4	151.6	119.3	93.7	149.8
	"Pope County, AR"	"05115"	"2013"	"2013"	66	62547	105.5	81.6	134.2	104.2	80.3	133.1
	"Prairie County, AR"	"05117"	"2009"	"2009"	11	8754	Unreliable	62.7	224.8	Unreliable	53.1	203.8
	"Prairie County, AR"	"05117"	"2011"	"2011"	15	8618	Unreliable	97.4	287.1	Unreliable	102.2	313.7
	"Prairie County, AR"	"05117"	"2012"	"2012"	11	8458	Unreliable	64.9	232.7	Unreliable	55.4	212.4
	"Prairie County, AR"	"05117"	"2013"	"2013"	11	8374	Unreliable	65.6	235.0	Unreliable	46.7	194.1
	"Pulaski County, AR"	"05119"	"2009"	"2009"	416	380053	109.5	98.9	120.0	110.5	99.8	121.2
	"Pulaski County, AR"	"05119"	"2010"	"2010"	463	382748	121.0	109.9	132.0	120.6	109.5	131.7
	"Pulaski County, AR"	"05119"	"2011"	"2011"	474	386299	122.7	111.7	133.7	121.2	110.2	132.3
	"Pulaski County, AR"	"05119"	"2012"	"2012"	564	388953	145.0	133.0	157.0	142.1	130.2	154.0
	"Pulaski County, AR"	"05119"	"2013"	"2013"	548	391284	140.1	128.3	151.8	137.9	126.2	149.6
	"Randolph County, AR"	"05121"	"2009"	"2009"	23	17964	128.0	81.2	192.1	120.7	74.7	184.5
	"Randolph County, AR"	"05121"	"2010"	"2010"	25	17969	139.1	90.0	205.4	120.3	76.3	180.6
	"Randolph County, AR"	"05121"	"2011"	"2011"	24	18017	133.2	85.3	198.2	123.7	77.5	187.2
	"Randolph County, AR"	"05121"	"2012"	"2012"	26	17930	145.0	94.7	212.5	118.8	76.1	176.7
	"Randolph County, AR"	"05121"	"2013"	"2013"	16	17692	Unreliable	51.7	146.9	Unreliable	35.5	104.6
	"St. Francis County, AR"	"05123"	"2009"	"2009"	32	28336	112.9	77.2	159.4	114.0	77.9	160.9
	"St. Francis County, AR"	"05123"	"2010"	"2010"	29	28258	102.6	68.7	147.4	99.4	66.0	143.6
	"St. Francis County, AR"	"05123"	"2011"	"2011"	33	27970	118.0	81.2	165.7	113.2	77.5	159.9
	"St. Francis County, AR"	"05123"	"2012"	"2012"	30	27858	107.7	72.7	153.7	109.4	73.3	157.1
	"St. Francis County, AR"	"05123"	"2013"	"2013"	31	27260	113.7	77.3	161.4	113.6	76.7	162.2
	"Saline County, AR"	"05125"	"2009"	"2009"	123	105362	116.7	96.1	137.4	119.6	98.2	141.0
	"Saline County, AR"	"05125"	"2010"	"2010"	131	107118	122.3	101.4	143.2	126.5	104.7	148.4
	"Saline County, AR"	"05125"	"2011"	"2011"	147	109526	134.2	112.5	155.9	132.7	111.0	154.4
	"Saline County, AR"	"05125"	"2012"	"2012"	161	111845	143.9	121.7	166.2	141.0	119.1	163.0
	"Saline County, AR"	"05125"	"2013"	"2013"	163	114404	142.5	120.6	164.4	137.4	116.1	158.8
	"Scott County, AR"	"05127"	"2010"	"2010"	17	11233	Unreliable	88.2	242.3	Unreliable	84.3	239.6
	"Scott County, AR"	"05127"	"2011"	"2011"	11	11272	Unreliable	48.7	174.6	Unreliable	41.6	159.5
	"Scott County, AR"	"05127"	"2012"	"2012"	11	11010	Unreliable	49.9	178.8	Unreliable	44.1	169.0
	"Scott County, AR"	"05127"	"2013"	"2013"	14	10950	Unreliable	69.9	214.5	Unreliable	63.2	202.9
	"Searcy County, AR"	"05129"	"2009"	"2009"	12	8190	Unreliable	75.7	255.9	Unreliable	68.3	261.9
	"Searcy County, AR"	"05129"	"2011"	"2011"	12	8036	Unreliable	77.2	260.8	Unreliable	68.7	263.4
	"Searcy County, AR"	"05129"	"2013"	"2013"	13	8023	Unreliable	86.3	277.1	Unreliable	63.9	244.9
	"Sebastian County, AR"	"05131"	"2009"	"2009"	144	125116	115.1	96.3	133.9	112.1	93.7	130.6
	"Sebastian County, AR"	"05131"	"2010"	"2010"	149	125744	118.5	99.5	137.5	113.5	95.1	131.8
	"Sebastian County, AR"	"05131"	"2011"	"2011"	144	127127	113.3	94.8	131.8	110.2	92.0	128.4
	"Sebastian County, AR"	"05131"	"2012"	"2012"	196	127304	154.0	132.4	175.5	145.2	124.7	165.8
	"Sebastian County, AR"	"05131"	"2013"	"2013"	139	127342	109.2	91.0	127.3	104.1	86.5	121.6
	"Sevier County, AR"	"05133"	"2009"	"2009"	20	16812	119.0	72.7	183.7	125.5	76.6	193.8
	"Sevier County, AR"	"05133"	"2010"	"2010"	15	17058	Unreliable	49.2	145.0	Unreliable	52.6	154.9
	"Sevier County, AR"	"05133"	"2011"	"2011"	16	17293	Unreliable	52.9	150.3	Unreliable	54.9	155.9
	"Sevier County, AR"	"05133"	"2012"	"2012"	13	17177	Unreliable	40.3	129.4	Unreliable	40.5	129.9
	"Sevier County, AR"	"05133"	"2013"	"2013"	17	17366	Unreliable	57.0	156.7	Unreliable	59.5	163.6
	"Sharp County, AR"	"05135"	"2009"	"2009"	24	17373	138.1	88.5	205.5	126.3	78.2	193.0
	"Sharp County, AR"	"05135"	"2010"	"2010"	22	17264	127.4	79.9	192.9	118.3	70.1	186.9
	"Sharp County, AR"	"05135"	"2011"	"2011"	18	17380	Unreliable	61.4	163.7	Unreliable	47.9	141.1
	"Sharp County, AR"	"05135"	"2012"	"2012"	33	17054	193.5	133.2	271.7	147.6	97.3	214.7
	"Sharp County, AR"	"05135"	"2013"	"2013"	29	17049	170.1	113.9	244.3	130.9	83.0	196.4
	"Stone County, AR"	"05137"	"2009"	"2009"	13	12340	Unreliable	56.1	180.1	Unreliable	46.4	156.8
	"Stone County, AR"	"05137"	"2010"	"2010"	19	12394	Unreliable	92.3	239.4	Unreliable	100.9	277.4
	"Stone County, AR"	"05137"	"2011"	"2011"	14	12603	Unreliable	60.7	186.4	Unreliable	43.7	147.7
	"Stone County, AR"	"05137"	"2012"	"2012"	14	12663	Unreliable	60.4	185.5	Unreliable	51.7	174.9
	"Stone County, AR"	"05137"	"2013"	"2013"	19	12581	Unreliable	90.9	235.8	Unreliable	76.2	216.4
	"Union County, AR"	"05139"	"2009"	"2009"	62	41944	147.8	113.3	189.5	129.3	98.7	166.4
	"Union County, AR"	"05139"	"2010"	"2010"	53	41639	127.3	95.3	166.5	111.7	83.2	146.9
	"Union County, AR"	"05139"	"2011"	"2011"	46	41427	111.0	81.3	148.1	110.6	80.4	148.5
	"Union County, AR"	"05139"	"2012"	"2012"	53	40867	129.7	97.1	169.6	122.4	90.9	161.4
	"Union County, AR"	"05139"	"2013"	"2013"	53	40694	130.2	97.6	170.4	117.4	87.1	154.7
	"Van Buren County, AR"	"05141"	"2009"	"2009"	23	17293	133.0	84.3	199.6	109.6	66.0	171.2
	"Van Buren County, AR"	"05141"	"2010"	"2010"	29	17295	167.7	112.3	240.8	132.5	84.9	197.2
	"Van Buren County, AR"	"05141"	"2011"	"2011"	26	17083	152.2	99.4	223.0	102.5	65.0	153.8
	"Van Buren County, AR"	"05141"	"2012"	"2012"	24	17030	140.9	90.3	209.7	114.6	69.0	178.9
	"Van Buren County, AR"	"05141"	"2013"	"2013"	29	16932	171.3	114.7	246.0	134.5	86.2	200.2
	"Washington County, AR"	"05143"	"2009"	"2009"	166	199774	83.1	70.5	95.7	95.0	80.3	109.8
	"Washington County, AR"	"05143"	"2010"	"2010"	171	203065	84.2	71.6	96.8	100.4	85.1	115.6
	"Washington County, AR"	"05143"	"2011"	"2011"	180	207521	86.7	74.1	99.4	99.4	84.6	114.1
	"Washington County, AR"	"05143"	"2012"	"2012"	194	211411	91.8	78.9	104.7	105.5	90.4	120.5
	"Washington County, AR"	"05143"	"2013"	"2013"	200	216410	92.4	79.6	105.2	105.1	90.3	119.9
	"White County, AR"	"05145"	"2009"	"2009"	95	76284	124.5	100.8	152.2	122.7	99.1	150.4
	"White County, AR"	"05145"	"2010"	"2010"	75	77076	97.3	76.5	122.0	95.5	75.0	119.9
	"White County, AR"	"05145"	"2011"	"2011"	115	78167	147.1	120.2	174.0	143.9	117.4	170.5
	"White County, AR"	"05145"	"2012"	"2012"	110	78493	140.1	114.0	166.3	135.8	110.2	161.5
	"White County, AR"	"05145"	"2013"	"2013"	127	78483	161.8	133.7	190.0	159.9	131.7	188.0
	"Woodruff County, AR"	"05147"	"2009"	"2009"	12	7294	Unreliable	85.0	287.4	Unreliable	68.3	244.7
	"Yell County, AR"	"05149"	"2009"	"2009"	18	22145	Unreliable	48.2	128.5	Unreliable	44.0	117.4
	"Yell County, AR"	"05149"	"2010"	"2010"	32	22185	144.2	98.7	203.6	142.6	96.9	202.5
	"Yell County, AR"	"05149"	"2011"	"2011"	29	22060	131.5	88.0	188.8	129.7	86.2	187.5
	"Yell County, AR"	"05149"	"2012"	"2012"	36	21932	164.1	115.0	227.2	154.0	107.2	214.1
	"Yell County, AR"	"05149"	"2013"	"2013"	20	21893	91.4	55.8	141.1	80.1	48.2	125.1
	"Alameda County, CA"	"06001"	"2009"	"2009"	1065	1498539	71.1	66.8	75.3	70.4	66.1	74.7
	"Alameda County, CA"	"06001"	"2010"	"2010"	994	1510271	65.8	61.7	69.9	65.0	60.9	69.1
	"Alameda County, CA"	"06001"	"2011"	"2011"	1092	1529875	71.4	67.1	75.6	69.4	65.2	73.6
	"Alameda County, CA"	"06001"	"2012"	"2012"	1130	1554720	72.7	68.4	76.9	70.1	65.9	74.2
	"Alameda County, CA"	"06001"	"2013"	"2013"	1225	1578891	77.6	73.2	81.9	75.1	70.8	79.4
	"Amador County, CA"	"06005"	"2009"	"2009"	52	38238	136.0	101.6	178.3	107.6	78.5	144.0
	"Amador County, CA"	"06005"	"2010"	"2010"	56	38091	147.0	111.1	190.9	130.5	96.5	172.5
	"Amador County, CA"	"06005"	"2011"	"2011"	48	37953	126.5	93.3	167.7	91.6	65.7	124.3
	"Amador County, CA"	"06005"	"2012"	"2012"	44	37035	118.8	86.3	159.5	84.0	59.1	115.8
	"Amador County, CA"	"06005"	"2013"	"2013"	41	36519	112.3	80.6	152.3	85.3	58.7	119.8
	"Butte County, CA"	"06007"	"2009"	"2009"	217	219777	98.7	85.6	111.9	93.0	80.1	105.9
	"Butte County, CA"	"06007"	"2010"	"2010"	289	220000	131.4	116.2	146.5	119.2	104.8	133.6
	"Butte County, CA"	"06007"	"2011"	"2011"	257	220266	116.7	102.4	130.9	103.7	90.4	117.0
	"Butte County, CA"	"06007"	"2012"	"2012"	250	221539	112.8	98.9	126.8	102.7	89.2	116.1
	"Butte County, CA"	"06007"	"2013"	"2013"	270	222090	121.6	107.1	136.1	107.0	93.4	120.5
	"Calaveras County, CA"	"06009"	"2009"	"2009"	63	45900	137.3	105.5	175.6	123.5	92.5	161.6
	"Calaveras County, CA"	"06009"	"2010"	"2010"	55	45578	120.7	90.9	157.1	101.0	74.2	134.4
	"Calaveras County, CA"	"06009"	"2011"	"2011"	63	45052	139.8	107.5	178.9	119.7	89.1	157.4
	"Calaveras County, CA"	"06009"	"2012"	"2012"	50	44742	111.8	82.9	147.3	98.0	70.0	133.5
	"Calaveras County, CA"	"06009"	"2013"	"2013"	58	44515	130.3	98.9	168.4	109.5	80.5	145.6
	"Colusa County, CA"	"06011"	"2009"	"2009"	18	21250	Unreliable	50.2	133.9	Unreliable	50.2	134.0
	"Colusa County, CA"	"06011"	"2010"	"2010"	14	21419	Unreliable	35.7	109.7	Unreliable	36.3	111.3
	"Colusa County, CA"	"06011"	"2011"	"2011"	27	21549	125.3	82.6	182.3	128.3	83.8	188.0
	"Colusa County, CA"	"06011"	"2012"	"2012"	14	21411	Unreliable	35.7	109.7	Unreliable	36.1	110.7
	"Colusa County, CA"	"06011"	"2013"	"2013"	26	21358	121.7	79.5	178.4	121.6	78.7	179.6
	"Contra Costa County, CA"	"06013"	"2009"	"2009"	837	1037890	80.6	75.2	86.1	77.1	71.8	82.3
	"Contra Costa County, CA"	"06013"	"2010"	"2010"	837	1049025	79.8	74.4	85.2	75.6	70.4	80.8
	"Contra Costa County, CA"	"06013"	"2011"	"2011"	875	1066096	82.1	76.6	87.5	76.1	71.0	81.2
	"Contra Costa County, CA"	"06013"	"2012"	"2012"	895	1079597	82.9	77.5	88.3	76.8	71.7	81.9
	"Contra Costa County, CA"	"06013"	"2013"	"2013"	879	1094205	80.3	75.0	85.6	73.5	68.6	78.5
	"Del Norte County, CA"	"06015"	"2009"	"2009"	33	28599	115.4	79.4	162.0	110.4	75.5	155.9
	"Del Norte County, CA"	"06015"	"2010"	"2010"	35	28610	122.3	85.2	170.1	118.8	82.3	166.1
	"Del Norte County, CA"	"06015"	"2011"	"2011"	39	28659	136.1	96.8	186.0	126.0	89.2	173.0
	"Del Norte County, CA"	"06015"	"2012"	"2012"	34	28290	120.2	83.2	167.9	115.5	79.5	162.1
	"Del Norte County, CA"	"06015"	"2013"	"2013"	50	27873	179.4	133.1	236.5	158.6	116.9	210.2
	"El Dorado County, CA"	"06017"	"2009"	"2009"	168	180455	93.1	79.0	107.2	88.5	74.7	102.3
	"El Dorado County, CA"	"06017"	"2010"	"2010"	174	181058	96.1	81.8	110.4	86.9	73.5	100.3
	"El Dorado County, CA"	"06017"	"2011"	"2011"	177	180938	97.8	83.4	112.2	87.4	74.0	100.8
	"El Dorado County, CA"	"06017"	"2012"	"2012"	200	180561	110.8	95.4	126.1	101.3	86.6	116.0
