"Notes"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"Rockdale County, GA"	"13247"	"2017"	"2017"	88	90312	97.4	103.3
	"Rockdale County, GA"	"13247"	"2018"	"2018"	100	90594	110.4	115.7
	"Screven County, GA"	"13251"	"2015"	"2015"	20	14162	141.2	121.1
	"Screven County, GA"	"13251"	"2016"	"2016"	13	14044	Unreliable	Unreliable
	"Screven County, GA"	"13251"	"2017"	"2017"	20	13953	143.3	122.7
	"Screven County, GA"	"13251"	"2018"	"2018"	13	13938	Unreliable	Unreliable
	"Seminole County, GA"	"13253"	"2015"	"2015"	18	8647	Unreliable	Unreliable
	"Seminole County, GA"	"13253"	"2016"	"2016"	17	8468	Unreliable	Unreliable
	"Seminole County, GA"	"13253"	"2017"	"2017"	17	8292	Unreliable	Unreliable
	"Seminole County, GA"	"13253"	"2018"	"2018"	20	8315	240.5	181.8
	"Spalding County, GA"	"13255"	"2015"	"2015"	80	64051	124.9	118.1
	"Spalding County, GA"	"13255"	"2016"	"2016"	81	64806	125.0	121.4
	"Spalding County, GA"	"13255"	"2017"	"2017"	87	65380	133.1	130.9
	"Spalding County, GA"	"13255"	"2018"	"2018"	72	66100	108.9	101.6
	"Stephens County, GA"	"13257"	"2015"	"2015"	34	25586	132.9	125.2
	"Stephens County, GA"	"13257"	"2016"	"2016"	34	25751	132.0	121.9
	"Stephens County, GA"	"13257"	"2017"	"2017"	40	25890	154.5	137.9
	"Stephens County, GA"	"13257"	"2018"	"2018"	43	26035	165.2	146.7
	"Sumter County, GA"	"13261"	"2015"	"2015"	46	30779	149.5	134.6
	"Sumter County, GA"	"13261"	"2016"	"2016"	62	30389	204.0	195.4
	"Sumter County, GA"	"13261"	"2017"	"2017"	61	29847	204.4	183.7
	"Sumter County, GA"	"13261"	"2018"	"2018"	30	29733	100.9	93.5
	"Tattnall County, GA"	"13267"	"2015"	"2015"	27	25229	107.0	108.6
	"Tattnall County, GA"	"13267"	"2016"	"2016"	34	25092	135.5	143.2
	"Tattnall County, GA"	"13267"	"2017"	"2017"	39	25334	153.9	152.1
	"Tattnall County, GA"	"13267"	"2018"	"2018"	26	25391	102.4	100.1
	"Taylor County, GA"	"13269"	"2015"	"2015"	12	8330	Unreliable	Unreliable
	"Taylor County, GA"	"13269"	"2016"	"2016"	14	8232	Unreliable	Unreliable
	"Taylor County, GA"	"13269"	"2017"	"2017"	17	8142	Unreliable	Unreliable
	"Telfair County, GA"	"13271"	"2015"	"2015"	10	16400	Unreliable	Unreliable
	"Telfair County, GA"	"13271"	"2016"	"2016"	15	15965	Unreliable	Unreliable
	"Telfair County, GA"	"13271"	"2017"	"2017"	25	15989	156.4	135.4
	"Telfair County, GA"	"13271"	"2018"	"2018"	20	15876	126.0	93.4
	"Terrell County, GA"	"13273"	"2015"	"2015"	10	9113	Unreliable	Unreliable
	"Terrell County, GA"	"13273"	"2018"	"2018"	11	8611	Unreliable	Unreliable
	"Thomas County, GA"	"13275"	"2015"	"2015"	74	45063	164.2	135.3
	"Thomas County, GA"	"13275"	"2016"	"2016"	66	45248	145.9	120.7
	"Thomas County, GA"	"13275"	"2017"	"2017"	62	44779	138.5	125.2
	"Thomas County, GA"	"13275"	"2018"	"2018"	66	44448	148.5	125.5
	"Tift County, GA"	"13277"	"2015"	"2015"	41	40764	100.6	97.3
	"Tift County, GA"	"13277"	"2016"	"2016"	51	40828	124.9	120.0
	"Tift County, GA"	"13277"	"2017"	"2017"	35	40598	86.2	84.8
	"Tift County, GA"	"13277"	"2018"	"2018"	34	40571	83.8	84.1
	"Toombs County, GA"	"13279"	"2015"	"2015"	42	27241	154.2	156.2
	"Toombs County, GA"	"13279"	"2016"	"2016"	35	27196	128.7	124.8
	"Toombs County, GA"	"13279"	"2017"	"2017"	32	26999	118.5	113.3
	"Toombs County, GA"	"13279"	"2018"	"2018"	26	26887	96.7	93.4
	"Towns County, GA"	"13281"	"2015"	"2015"	17	11182	Unreliable	Unreliable
	"Towns County, GA"	"13281"	"2016"	"2016"	26	11391	228.3	155.6
	"Towns County, GA"	"13281"	"2017"	"2017"	24	11506	208.6	138.8
	"Towns County, GA"	"13281"	"2018"	"2018"	28	11852	236.2	137.6
	"Troup County, GA"	"13285"	"2015"	"2015"	106	69763	151.9	146.3
	"Troup County, GA"	"13285"	"2016"	"2016"	89	70005	127.1	127.5
	"Troup County, GA"	"13285"	"2017"	"2017"	90	69786	129.0	124.4
	"Troup County, GA"	"13285"	"2018"	"2018"	73	70034	104.2	96.1
	"Turner County, GA"	"13287"	"2015"	"2015"	12	8214	Unreliable	Unreliable
	"Turner County, GA"	"13287"	"2016"	"2016"	17	8030	Unreliable	Unreliable
	"Turner County, GA"	"13287"	"2017"	"2017"	11	7961	Unreliable	Unreliable
	"Twiggs County, GA"	"13289"	"2015"	"2015"	14	8390	Unreliable	Unreliable
	"Twiggs County, GA"	"13289"	"2016"	"2016"	20	8171	244.8	268.7
	"Twiggs County, GA"	"13289"	"2017"	"2017"	12	8174	Unreliable	Unreliable
	"Twiggs County, GA"	"13289"	"2018"	"2018"	18	8188	Unreliable	Unreliable
	"Union County, GA"	"13291"	"2015"	"2015"	43	22267	193.1	148.5
	"Union County, GA"	"13291"	"2016"	"2016"	39	22928	170.1	127.5
	"Union County, GA"	"13291"	"2017"	"2017"	37	23459	157.7	116.6
	"Union County, GA"	"13291"	"2018"	"2018"	34	24001	141.7	103.8
	"Upson County, GA"	"13293"	"2015"	"2015"	25	26368	94.8	88.1
	"Upson County, GA"	"13293"	"2016"	"2016"	27	26335	102.5	98.0
	"Upson County, GA"	"13293"	"2017"	"2017"	22	26135	84.2	80.2
	"Upson County, GA"	"13293"	"2018"	"2018"	33	26215	125.9	113.3
	"Walker County, GA"	"13295"	"2015"	"2015"	81	68066	119.0	108.7
	"Walker County, GA"	"13295"	"2016"	"2016"	73	67896	107.5	100.9
	"Walker County, GA"	"13295"	"2017"	"2017"	73	68939	105.9	97.6
	"Walker County, GA"	"13295"	"2018"	"2018"	78	69410	112.4	98.5
	"Walton County, GA"	"13297"	"2015"	"2015"	111	88399	125.6	127.9
	"Walton County, GA"	"13297"	"2016"	"2016"	125	90184	138.6	135.7
	"Walton County, GA"	"13297"	"2017"	"2017"	103	91600	112.4	109.3
	"Walton County, GA"	"13297"	"2018"	"2018"	124	93503	132.6	127.0
	"Ware County, GA"	"13299"	"2015"	"2015"	61	35370	172.5	154.3
	"Ware County, GA"	"13299"	"2016"	"2016"	58	35738	162.3	137.5
	"Ware County, GA"	"13299"	"2017"	"2017"	56	35871	156.1	134.4
	"Ware County, GA"	"13299"	"2018"	"2018"	42	35680	117.7	106.6
	"Warren County, GA"	"13301"	"2015"	"2015"	14	5460	Unreliable	Unreliable
	"Warren County, GA"	"13301"	"2016"	"2016"	15	5442	Unreliable	Unreliable
	"Warren County, GA"	"13301"	"2018"	"2018"	13	5251	Unreliable	Unreliable
	"Washington County, GA"	"13303"	"2015"	"2015"	29	20816	139.3	128.7
	"Washington County, GA"	"13303"	"2016"	"2016"	33	20457	161.3	145.9
	"Washington County, GA"	"13303"	"2017"	"2017"	28	20313	137.8	117.2
	"Washington County, GA"	"13303"	"2018"	"2018"	36	20386	176.6	142.1
	"Wayne County, GA"	"13305"	"2015"	"2015"	40	29534	135.4	132.8
	"Wayne County, GA"	"13305"	"2016"	"2016"	43	30104	142.8	136.9
	"Wayne County, GA"	"13305"	"2017"	"2017"	39	29817	130.8	120.6
	"Wayne County, GA"	"13305"	"2018"	"2018"	48	29808	161.0	161.4
	"White County, GA"	"13311"	"2015"	"2015"	48	28319	169.5	140.5
	"White County, GA"	"13311"	"2016"	"2016"	31	28884	107.3	92.9
	"White County, GA"	"13311"	"2017"	"2017"	38	29453	129.0	114.5
	"White County, GA"	"13311"	"2018"	"2018"	30	29970	100.1	83.3
	"Whitfield County, GA"	"13313"	"2015"	"2015"	99	104216	95.0	98.1
	"Whitfield County, GA"	"13313"	"2016"	"2016"	73	104589	69.8	72.4
	"Whitfield County, GA"	"13313"	"2017"	"2017"	97	104658	92.7	93.2
	"Whitfield County, GA"	"13313"	"2018"	"2018"	81	104062	77.8	76.8
	"Wilcox County, GA"	"13315"	"2015"	"2015"	14	8857	Unreliable	Unreliable
	"Wilcox County, GA"	"13315"	"2016"	"2016"	12	8761	Unreliable	Unreliable
	"Wilcox County, GA"	"13315"	"2017"	"2017"	12	8800	Unreliable	Unreliable
	"Wilkes County, GA"	"13317"	"2015"	"2015"	17	9867	Unreliable	Unreliable
	"Wilkes County, GA"	"13317"	"2016"	"2016"	21	9805	214.2	160.5
	"Wilkes County, GA"	"13317"	"2017"	"2017"	12	9892	Unreliable	Unreliable
	"Wilkes County, GA"	"13317"	"2018"	"2018"	13	9876	Unreliable	Unreliable
	"Wilkinson County, GA"	"13319"	"2015"	"2015"	15	9155	Unreliable	Unreliable
	"Wilkinson County, GA"	"13319"	"2016"	"2016"	18	9104	Unreliable	Unreliable
	"Wilkinson County, GA"	"13319"	"2017"	"2017"	10	8959	Unreliable	Unreliable
	"Wilkinson County, GA"	"13319"	"2018"	"2018"	19	9036	Unreliable	Unreliable
	"Worth County, GA"	"13321"	"2015"	"2015"	30	20699	144.9	126.9
	"Worth County, GA"	"13321"	"2016"	"2016"	32	20748	154.2	137.0
	"Worth County, GA"	"13321"	"2017"	"2017"	19	20533	Unreliable	Unreliable
	"Worth County, GA"	"13321"	"2018"	"2018"	24	20299	118.2	108.9
	"Hawaii County, HI"	"15001"	"2015"	"2015"	225	196428	114.5	97.9
	"Hawaii County, HI"	"15001"	"2016"	"2016"	236	198449	118.9	104.4
	"Hawaii County, HI"	"15001"	"2017"	"2017"	264	200381	131.7	110.6
	"Hawaii County, HI"	"15001"	"2018"	"2018"	262	200983	130.4	109.1
	"Honolulu County, HI"	"15003"	"2015"	"2015"	1012	998714	101.3	77.9
	"Honolulu County, HI"	"15003"	"2016"	"2016"	1025	992605	103.3	78.6
	"Honolulu County, HI"	"15003"	"2017"	"2017"	1095	988650	110.8	84.1
	"Honolulu County, HI"	"15003"	"2018"	"2018"	1096	980080	111.8	82.6
	"Kauai County, HI"	"15007"	"2015"	"2015"	60	71735	83.6	65.2
	"Kauai County, HI"	"15007"	"2016"	"2016"	63	72029	87.5	80.7
	"Kauai County, HI"	"15007"	"2017"	"2017"	77	72159	106.7	87.6
	"Kauai County, HI"	"15007"	"2018"	"2018"	77	72133	106.7	87.4
	"Maui County, HI"	"15009"	"2015"	"2015"	174	164637	105.7	93.2
	"Maui County, HI"	"15009"	"2016"	"2016"	160	165386	96.7	85.0
	"Maui County, HI"	"15009"	"2017"	"2017"	175	166260	105.3	91.1
	"Maui County, HI"	"15009"	"2018"	"2018"	166	167207	99.3	83.3
	"Ada County, ID"	"16001"	"2015"	"2015"	391	434211	90.0	90.0
	"Ada County, ID"	"16001"	"2016"	"2016"	438	444028	98.6	97.5
	"Ada County, ID"	"16001"	"2017"	"2017"	440	456849	96.3	95.4
	"Ada County, ID"	"16001"	"2018"	"2018"	456	469966	97.0	96.1
	"Adams County, ID"	"16003"	"2017"	"2017"	16	4147	Unreliable	Unreliable
	"Adams County, ID"	"16003"	"2018"	"2018"	10	4250	Unreliable	Unreliable
	"Bannock County, ID"	"16005"	"2015"	"2015"	106	83744	126.6	130.1
	"Bannock County, ID"	"16005"	"2016"	"2016"	103	84377	122.1	128.2
	"Bannock County, ID"	"16005"	"2017"	"2017"	116	85269	136.0	136.5
	"Bannock County, ID"	"16005"	"2018"	"2018"	99	87138	113.6	119.7
	"Bear Lake County, ID"	"16007"	"2017"	"2017"	12	6028	Unreliable	Unreliable
	"Bear Lake County, ID"	"16007"	"2018"	"2018"	11	6050	Unreliable	Unreliable
	"Benewah County, ID"	"16009"	"2015"	"2015"	22	9052	243.0	224.0
	"Benewah County, ID"	"16009"	"2016"	"2016"	26	9092	286.0	260.2
	"Benewah County, ID"	"16009"	"2017"	"2017"	24	9184	261.3	237.9
	"Benewah County, ID"	"16009"	"2018"	"2018"	14	9226	Unreliable	Unreliable
	"Bingham County, ID"	"16011"	"2015"	"2015"	57	44990	126.7	130.3
	"Bingham County, ID"	"16011"	"2016"	"2016"	65	45201	143.8	149.8
	"Bingham County, ID"	"16011"	"2017"	"2017"	53	45927	115.4	121.5
	"Bingham County, ID"	"16011"	"2018"	"2018"	60	46236	129.8	132.4
	"Blaine County, ID"	"16013"	"2015"	"2015"	26	21592	120.4	122.1
	"Blaine County, ID"	"16013"	"2016"	"2016"	25	21791	114.7	108.1
	"Blaine County, ID"	"16013"	"2017"	"2017"	13	22024	Unreliable	Unreliable
	"Blaine County, ID"	"16013"	"2018"	"2018"	12	22601	Unreliable	Unreliable
	"Bonner County, ID"	"16017"	"2015"	"2015"	53	41859	126.6	108.2
	"Bonner County, ID"	"16017"	"2016"	"2016"	62	42536	145.8	117.6
	"Bonner County, ID"	"16017"	"2017"	"2017"	67	43560	153.8	127.8
	"Bonner County, ID"	"16017"	"2018"	"2018"	57	44727	127.4	114.4
	"Bonneville County, ID"	"16019"	"2015"	"2015"	155	110089	140.8	151.3
	"Bonneville County, ID"	"16019"	"2016"	"2016"	149	112232	132.8	139.7
	"Bonneville County, ID"	"16019"	"2017"	"2017"	153	114595	133.5	141.1
	"Bonneville County, ID"	"16019"	"2018"	"2018"	173	116854	148.0	155.3
	"Boundary County, ID"	"16021"	"2016"	"2016"	12	11681	Unreliable	Unreliable
	"Boundary County, ID"	"16021"	"2017"	"2017"	15	11922	Unreliable	Unreliable
	"Boundary County, ID"	"16021"	"2018"	"2018"	10	11948	Unreliable	Unreliable
	"Canyon County, ID"	"16027"	"2015"	"2015"	197	207478	94.9	103.3
	"Canyon County, ID"	"16027"	"2016"	"2016"	176	211698	83.1	89.8
	"Canyon County, ID"	"16027"	"2017"	"2017"	192	216699	88.6	91.8
	"Canyon County, ID"	"16027"	"2018"	"2018"	211	223499	94.4	98.8
	"Caribou County, ID"	"16029"	"2016"	"2016"	13	6887	Unreliable	Unreliable
	"Caribou County, ID"	"16029"	"2018"	"2018"	11	7060	Unreliable	Unreliable
	"Cassia County, ID"	"16031"	"2015"	"2015"	40	23506	170.2	176.2
	"Cassia County, ID"	"16031"	"2016"	"2016"	40	23504	170.2	168.8
	"Cassia County, ID"	"16031"	"2017"	"2017"	42	23664	177.5	189.4
	"Cassia County, ID"	"16031"	"2018"	"2018"	30	23864	125.7	121.6
	"Clearwater County, ID"	"16035"	"2015"	"2015"	16	8496	Unreliable	Unreliable
	"Clearwater County, ID"	"16035"	"2016"	"2016"	20	8497	235.4	202.0
	"Clearwater County, ID"	"16035"	"2017"	"2017"	20	8546	234.0	177.7
	"Clearwater County, ID"	"16035"	"2018"	"2018"	10	8758	Unreliable	Unreliable
	"Elmore County, ID"	"16039"	"2015"	"2015"	25	25876	96.6	106.6
	"Elmore County, ID"	"16039"	"2016"	"2016"	26	26018	99.9	104.6
	"Elmore County, ID"	"16039"	"2017"	"2017"	23	26823	85.7	90.6
	"Elmore County, ID"	"16039"	"2018"	"2018"	33	27259	121.1	128.0
	"Franklin County, ID"	"16041"	"2015"	"2015"	12	13074	Unreliable	Unreliable
	"Franklin County, ID"	"16041"	"2016"	"2016"	13	13406	Unreliable	Unreliable
	"Franklin County, ID"	"16041"	"2017"	"2017"	20	13564	147.4	147.0
	"Franklin County, ID"	"16041"	"2018"	"2018"	16	13726	Unreliable	Unreliable
	"Fremont County, ID"	"16043"	"2015"	"2015"	13	12819	Unreliable	Unreliable
	"Fremont County, ID"	"16043"	"2016"	"2016"	13	12943	Unreliable	Unreliable
	"Fremont County, ID"	"16043"	"2017"	"2017"	15	13094	Unreliable	Unreliable
	"Fremont County, ID"	"16043"	"2018"	"2018"	10	13168	Unreliable	Unreliable
	"Gem County, ID"	"16045"	"2015"	"2015"	24	16852	142.4	111.6
	"Gem County, ID"	"16045"	"2016"	"2016"	36	17184	209.5	167.4
	"Gem County, ID"	"16045"	"2017"	"2017"	31	17379	178.4	130.1
	"Gem County, ID"	"16045"	"2018"	"2018"	34	17634	192.8	154.0
	"Gooding County, ID"	"16047"	"2015"	"2015"	17	15284	Unreliable	Unreliable
	"Gooding County, ID"	"16047"	"2016"	"2016"	24	15185	158.1	159.4
	"Gooding County, ID"	"16047"	"2017"	"2017"	19	15124	Unreliable	Unreliable
	"Gooding County, ID"	"16047"	"2018"	"2018"	21	15196	138.2	122.3
	"Idaho County, ID"	"16049"	"2015"	"2015"	29	16272	178.2	137.5
	"Idaho County, ID"	"16049"	"2016"	"2016"	38	16156	235.2	174.2
	"Idaho County, ID"	"16049"	"2017"	"2017"	35	16369	213.8	157.8
	"Idaho County, ID"	"16049"	"2018"	"2018"	39	16513	236.2	189.3
	"Jefferson County, ID"	"16051"	"2015"	"2015"	27	27157	99.4	114.1
	"Jefferson County, ID"	"16051"	"2016"	"2016"	30	27839	107.8	125.8
	"Jefferson County, ID"	"16051"	"2017"	"2017"	23	28446	80.9	94.2
	"Jefferson County, ID"	"16051"	"2018"	"2018"	28	29439	95.1	115.7
	"Jerome County, ID"	"16053"	"2015"	"2015"	23	22814	100.8	112.0
	"Jerome County, ID"	"16053"	"2016"	"2016"	36	22994	156.6	177.2
	"Jerome County, ID"	"16053"	"2017"	"2017"	26	23627	110.0	119.1
	"Jerome County, ID"	"16053"	"2018"	"2018"	18	24015	Unreliable	Unreliable
	"Kootenai County, ID"	"16055"	"2015"	"2015"	213	150346	141.7	127.9
	"Kootenai County, ID"	"16055"	"2016"	"2016"	193	154311	125.1	111.1
	"Kootenai County, ID"	"16055"	"2017"	"2017"	213	157637	135.1	120.9
	"Kootenai County, ID"	"16055"	"2018"	"2018"	215	161505	133.1	116.8
	"Latah County, ID"	"16057"	"2015"	"2015"	29	38778	74.8	84.0
	"Latah County, ID"	"16057"	"2016"	"2016"	47	39196	119.9	128.1
	"Latah County, ID"	"16057"	"2017"	"2017"	40	39333	101.7	111.0
	"Latah County, ID"	"16057"	"2018"	"2018"	31	40134	77.2	76.7
	"Lemhi County, ID"	"16059"	"2015"	"2015"	16	7735	Unreliable	Unreliable
	"Lemhi County, ID"	"16059"	"2016"	"2016"	16	7723	Unreliable	Unreliable
	"Lemhi County, ID"	"16059"	"2017"	"2017"	15	7875	Unreliable	Unreliable
	"Lemhi County, ID"	"16059"	"2018"	"2018"	16	7961	Unreliable	Unreliable
	"Lincoln County, ID"	"16063"	"2015"	"2015"	11	5297	Unreliable	Unreliable
	"Madison County, ID"	"16065"	"2016"	"2016"	14	39048	Unreliable	Unreliable
	"Madison County, ID"	"16065"	"2017"	"2017"	21	39141	53.7	92.2
	"Madison County, ID"	"16065"	"2018"	"2018"	13	39304	Unreliable	Unreliable
	"Minidoka County, ID"	"16067"	"2015"	"2015"	28	20461	136.8	123.9
	"Minidoka County, ID"	"16067"	"2016"	"2016"	26	20616	126.1	114.2
	"Minidoka County, ID"	"16067"	"2017"	"2017"	19	20729	Unreliable	Unreliable
	"Minidoka County, ID"	"16067"	"2018"	"2018"	33	20825	158.5	152.1
	"Nez Perce County, ID"	"16069"	"2015"	"2015"	82	40048	204.8	150.5
	"Nez Perce County, ID"	"16069"	"2016"	"2016"	66	40369	163.5	109.3
	"Nez Perce County, ID"	"16069"	"2017"	"2017"	93	40385	230.3	182.0
	"Nez Perce County, ID"	"16069"	"2018"	"2018"	86	40408	212.8	161.8
	"Owyhee County, ID"	"16073"	"2015"	"2015"	14	11310	Unreliable	Unreliable
	"Owyhee County, ID"	"16073"	"2016"	"2016"	16	11389	Unreliable	Unreliable
	"Owyhee County, ID"	"16073"	"2018"	"2018"	13	11693	Unreliable	Unreliable
	"Payette County, ID"	"16075"	"2015"	"2015"	30	22896	131.0	121.9
	"Payette County, ID"	"16075"	"2016"	"2016"	29	23026	125.9	127.3
	"Payette County, ID"	"16075"	"2017"	"2017"	29	23215	124.9	115.3
	"Payette County, ID"	"16075"	"2018"	"2018"	30	23551	127.4	117.4
	"Power County, ID"	"16077"	"2017"	"2017"	12	7600	Unreliable	Unreliable
	"Power County, ID"	"16077"	"2018"	"2018"	10	7768	Unreliable	Unreliable
	"Shoshone County, ID"	"16079"	"2015"	"2015"	22	12432	177.0	169.1
	"Shoshone County, ID"	"16079"	"2016"	"2016"	21	12452	168.6	140.4
	"Shoshone County, ID"	"16079"	"2017"	"2017"	33	12542	263.1	178.9
	"Shoshone County, ID"	"16079"	"2018"	"2018"	23	12796	179.7	153.9
	"Teton County, ID"	"16081"	"2015"	"2015"	10	10564	Unreliable	Unreliable
	"Teton County, ID"	"16081"	"2016"	"2016"	10	10960	Unreliable	Unreliable
	"Teton County, ID"	"16081"	"2018"	"2018"	14	11640	Unreliable	Unreliable
	"Twin Falls County, ID"	"16083"	"2015"	"2015"	122	82375	148.1	142.9
	"Twin Falls County, ID"	"16083"	"2016"	"2016"	140	83514	167.6	161.9
	"Twin Falls County, ID"	"16083"	"2017"	"2017"	122	85124	143.3	138.1
	"Twin Falls County, ID"	"16083"	"2018"	"2018"	133	86081	154.5	147.3
	"Valley County, ID"	"16085"	"2015"	"2015"	12	10103	Unreliable	Unreliable
	"Valley County, ID"	"16085"	"2016"	"2016"	12	10496	Unreliable	Unreliable
	"Valley County, ID"	"16085"	"2017"	"2017"	16	10687	Unreliable	Unreliable
	"Valley County, ID"	"16085"	"2018"	"2018"	13	11041	Unreliable	Unreliable
	"Washington County, ID"	"16087"	"2015"	"2015"	11	9984	Unreliable	Unreliable
	"Washington County, ID"	"16087"	"2016"	"2016"	14	10172	Unreliable	Unreliable
	"Washington County, ID"	"16087"	"2017"	"2017"	18	10121	Unreliable	Unreliable
	"Washington County, ID"	"16087"	"2018"	"2018"	12	10161	Unreliable	Unreliable
	"Adams County, IL"	"17001"	"2015"	"2015"	126	67013	188.0	145.4
	"Adams County, IL"	"17001"	"2016"	"2016"	110	66578	165.2	115.5
	"Adams County, IL"	"17001"	"2017"	"2017"	86	66234	129.8	96.9
	"Adams County, IL"	"17001"	"2018"	"2018"	125	65691	190.3	132.0
	"Alexander County, IL"	"17003"	"2015"	"2015"	10	6780	Unreliable	Unreliable
	"Alexander County, IL"	"17003"	"2016"	"2016"	13	6478	Unreliable	Unreliable
	"Alexander County, IL"	"17003"	"2018"	"2018"	12	6060	Unreliable	Unreliable
	"Bond County, IL"	"17005"	"2015"	"2015"	25	16950	147.5	123.2
	"Bond County, IL"	"17005"	"2016"	"2016"	19	16824	Unreliable	Unreliable
	"Bond County, IL"	"17005"	"2017"	"2017"	23	16948	135.7	109.4
	"Bond County, IL"	"17005"	"2018"	"2018"	25	16630	150.3	128.7
	"Boone County, IL"	"17007"	"2015"	"2015"	43	53585	80.2	79.0
	"Boone County, IL"	"17007"	"2016"	"2016"	47	53503	87.8	92.0
	"Boone County, IL"	"17007"	"2017"	"2017"	55	53513	102.8	98.0
	"Boone County, IL"	"17007"	"2018"	"2018"	66	53577	123.2	119.0
	"Bureau County, IL"	"17011"	"2015"	"2015"	42	33587	125.0	115.6
	"Bureau County, IL"	"17011"	"2016"	"2016"	51	33359	152.9	123.0
	"Bureau County, IL"	"17011"	"2017"	"2017"	33	33243	99.3	80.4
	"Bureau County, IL"	"17011"	"2018"	"2018"	47	32993	142.5	109.1
	"Carroll County, IL"	"17015"	"2015"	"2015"	31	14616	212.1	147.0
	"Carroll County, IL"	"17015"	"2016"	"2016"	22	14539	151.3	109.4
	"Carroll County, IL"	"17015"	"2017"	"2017"	29	14518	199.8	143.3
	"Carroll County, IL"	"17015"	"2018"	"2018"	21	14312	146.7	78.9
	"Cass County, IL"	"17017"	"2015"	"2015"	16	12847	Unreliable	Unreliable
	"Cass County, IL"	"17017"	"2016"	"2016"	12	12676	Unreliable	Unreliable
	"Cass County, IL"	"17017"	"2017"	"2017"	16	12505	Unreliable	Unreliable
	"Cass County, IL"	"17017"	"2018"	"2018"	19	12260	Unreliable	Unreliable
	"Champaign County, IL"	"17019"	"2015"	"2015"	206	208861	98.6	101.4
	"Champaign County, IL"	"17019"	"2016"	"2016"	199	208419	95.5	98.2
	"Champaign County, IL"	"17019"	"2017"	"2017"	207	209399	98.9	97.0
	"Champaign County, IL"	"17019"	"2018"	"2018"	229	209983	109.1	107.3
	"Christian County, IL"	"17021"	"2015"	"2015"	51	33642	151.6	122.0
	"Christian County, IL"	"17021"	"2016"	"2016"	58	33309	174.1	145.4
	"Christian County, IL"	"17021"	"2017"	"2017"	61	33102	184.3	136.9
	"Christian County, IL"	"17021"	"2018"	"2018"	40	32661	122.5	87.3
	"Clark County, IL"	"17023"	"2015"	"2015"	27	15979	169.0	128.8
	"Clark County, IL"	"17023"	"2016"	"2016"	20	15938	125.5	111.6
	"Clark County, IL"	"17023"	"2017"	"2017"	19	15767	Unreliable	Unreliable
	"Clark County, IL"	"17023"	"2018"	"2018"	20	15596	128.2	110.5
	"Clay County, IL"	"17025"	"2015"	"2015"	13	13428	Unreliable	Unreliable
	"Clay County, IL"	"17025"	"2016"	"2016"	13	13300	Unreliable	Unreliable
	"Clay County, IL"	"17025"	"2017"	"2017"	14	13269	Unreliable	Unreliable
	"Clay County, IL"	"17025"	"2018"	"2018"	19	13253	Unreliable	Unreliable
	"Clinton County, IL"	"17027"	"2015"	"2015"	51	37786	135.0	101.8
	"Clinton County, IL"	"17027"	"2016"	"2016"	43	37729	114.0	89.9
	"Clinton County, IL"	"17027"	"2017"	"2017"	48	37614	127.6	108.7
	"Clinton County, IL"	"17027"	"2018"	"2018"	45	37639	119.6	94.1
	"Coles County, IL"	"17029"	"2015"	"2015"	47	52521	89.5	77.6
	"Coles County, IL"	"17029"	"2016"	"2016"	46	52343	87.9	74.1
	"Coles County, IL"	"17029"	"2017"	"2017"	52	51979	100.0	82.6
	"Coles County, IL"	"17029"	"2018"	"2018"	74	50885	145.4	117.9
	"Cook County, IL"	"17031"	"2015"	"2015"	4897	5238216	93.5	87.1
	"Cook County, IL"	"17031"	"2016"	"2016"	5589	5203499	107.4	101.0
	"Cook County, IL"	"17031"	"2017"	"2017"	5811	5211263	111.5	102.8
	"Cook County, IL"	"17031"	"2018"	"2018"	5617	5180493	108.4	98.7
	"Crawford County, IL"	"17033"	"2015"	"2015"	25	19414	128.8	90.6
	"Crawford County, IL"	"17033"	"2016"	"2016"	39	19308	202.0	140.5
	"Crawford County, IL"	"17033"	"2017"	"2017"	38	18961	200.4	156.4
	"Crawford County, IL"	"17033"	"2018"	"2018"	27	18807	143.6	114.2
	"Cumberland County, IL"	"17035"	"2015"	"2015"	14	10898	Unreliable	Unreliable
	"Cumberland County, IL"	"17035"	"2017"	"2017"	16	10908	Unreliable	Unreliable
	"Cumberland County, IL"	"17035"	"2018"	"2018"	13	10808	Unreliable	Unreliable
	"DeKalb County, IL"	"17037"	"2015"	"2015"	92	104352	88.2	95.3
	"DeKalb County, IL"	"17037"	"2016"	"2016"	89	104528	85.1	89.5
	"DeKalb County, IL"	"17037"	"2017"	"2017"	101	104733	96.4	102.6
	"DeKalb County, IL"	"17037"	"2018"	"2018"	105	104143	100.8	104.1
	"De Witt County, IL"	"17039"	"2015"	"2015"	30	16247	184.6	161.1
	"De Witt County, IL"	"17039"	"2016"	"2016"	19	16226	Unreliable	Unreliable
	"De Witt County, IL"	"17039"	"2017"	"2017"	23	15942	144.3	119.4
	"De Witt County, IL"	"17039"	"2018"	"2018"	18	15769	Unreliable	Unreliable
	"Douglas County, IL"	"17041"	"2015"	"2015"	18	19823	Unreliable	Unreliable
	"Douglas County, IL"	"17041"	"2016"	"2016"	19	19630	Unreliable	Unreliable
	"Douglas County, IL"	"17041"	"2017"	"2017"	26	19748	131.7	109.3
	"Douglas County, IL"	"17041"	"2018"	"2018"	23	19479	118.1	93.6
